name,networth,age,country,source,industry
Leonid Mikhelson,$14 B,66,Russia,"gas, chemicals",Energy
Sunil Mittal &amp; family,$13.9 B,64,India,telecom,Telecom
Robert &amp; Philip Ng,$13.7 B,N/A,Singapore,real estate,Real Estate
Liu Hanyuan,$13.65 B,58,China,agribusiness,Food &amp; Beverage
Joseph Lau,$13.6 B,70,Hong Kong,real estate,Real Estate
Anders Holch Povlsen,$13.6 B,49,Denmark,fashion retail,Fashion &amp; Retail
Dhanin Chearavanont,$13.5 B,82,Thailand,diversified,Diversified
Gong Hongjia &amp; family,$13.2 B,57,Hong Kong,video surveillance,Finance &amp; Investments
Liu Yongxing,$13.2 B,73,China,diversified,Service
Alexey Mordashov,$13.2 B,56,Russia,"steel, investments",Metals &amp; Mining
Wang Jianlin,$13.2 B,67,China,real estate,Real Estate
David Duffield,$12.9 B,81,United States,business software,Technology
Li Zhenguo &amp; family,$12.9 B,54,China,solar wafers and modules,Manufacturing
Harry Triguboff,$12.8 B,89,Australia,real estate,Real Estate
Zhang Zhidong,$12.8 B,50,China,internet media,Technology
Chen Bang,$12.7 B,56,China,hospitals,Healthcare
John Doerr,$12.7 B,70,United States,venture capital,Technology
Hinduja brothers,$12.7 B,N/A,United Kingdom,diversified,Diversified
Kwong Siu-hing,$12.6 B,92,Hong Kong,real estate,Real Estate
Pei Zhenhua,$12.5 B,63,China,batteries,Energy
Ricardo Salinas Pliego &amp; family,$12.4 B,66,Mexico,"retail, media",Fashion &amp; Retail
Jim Pattison,$12.2 B,93,Canada,diversified,Diversified
Charles Schwab,$12.2 B,84,United States,discount brokerage,Finance &amp; Investments
Goh Cheng Liang,$12.1 B,94,Singapore,paints,Manufacturing
Lin Jianhua,$12.1 B,59,China,solar panel components,Manufacturing
Charoen Sirivadhanabhakdi,$12 B,77,Thailand,"alcohol, real estate",Food &amp; Beverage
Jeff Yass,$12 B,63,United States,"trading, investments",Finance &amp; Investments
John Fredriksen,$11.9 B,77,Cyprus,shipping,Logistics
Andreas Struengmann &amp; family,$11.9 B,72,Germany,pharmaceuticals,Healthcare
Thomas Struengmann &amp; family,$11.9 B,72,Germany,pharmaceuticals,Healthcare
Mikhail Fridman,$11.8 B,57,Russia,"oil, banking, telecom",Energy
Sarath Ratanavadi,$11.8 B,56,Thailand,energy,Energy
Robert Kuok,$11.7 B,98,Malaysia,"palm oil, shipping, property",Diversified
Lei Jun,$11.7 B,52,China,smartphones,Technology
Zhang Congyuan,$11.7 B,74,Taiwan,shoes,Fashion &amp; Retail
Lui Che Woo,$11.6 B,93,Hong Kong,casinos/hotels,Gambling &amp; Casinos
Brian Chesky,$11.5 B,40,United States,Airbnb,Technology
Israel Englander,$11.5 B,73,United States,hedge funds,Finance &amp; Investments
Dustin Moskovitz,$11.5 B,37,United States,Facebook,Technology
Alisher Usmanov,$11.5 B,68,Russia,"steel, telecom, investments",Metals &amp; Mining
Jay Chaudhry,$11.4 B,62,United States,security software,Technology
Anthony Pratt,$11.4 B,61,Australia,manufacturing,Manufacturing
Colin Zheng Huang,$11.3 B,42,China,e-commerce,Technology
Jin Baofang,$11.3 B,69,China,solar panels,Energy
Pierre Omidyar,$11.3 B,54,United States,"eBay, PayPal",Technology
Gennady Timchenko,$11.3 B,69,Russia,"oil, gas",Energy
Carl Cook,$11.1 B,59,United States,medical devices,Healthcare
Andrey Melnichenko,$11.1 B,50,Russia,"coal, fertilizers",Metals &amp; Mining
Xing Wang,$11 B,43,China,e-commerce,Technology
Philip Anschutz,$10.9 B,82,United States,investments,Finance &amp; Investments
David Cheriton,$10.9 B,71,Canada,Google,Technology
Alexander Otto,$10.9 B,54,Germany,real estate,Real Estate
Diane Hendricks,$10.7 B,75,United States,roofing,Construction &amp; Engineering
Stanley Kroenke,$10.7 B,74,United States,"sports, real estate",Sports
Jerry Jones,$10.6 B,79,United States,Dallas Cowboys,Sports
Quek Leng Chan,$10.6 B,80,Malaysia,"banking, property",Diversified
Eduardo Saverin,$10.6 B,40,Brazil,Facebook,Media &amp; Entertainment
Vagit Alekperov,$10.5 B,71,Russia,oil,Energy
Richard Liu,$10.5 B,48,China,e-commerce,Technology
Idan Ofer,$10.5 B,66,Israel,shipping,Diversified
Melker Schorling &amp; family,$10.4 B,74,Sweden,investments,Finance &amp; Investments
"Chase Coleman, III.",$10.3 B,46,United States,investments,Finance &amp; Investments
Shuirong Li,$10.3 B,65,China,petrochemicals,Manufacturing
Stefano Pessina,$10.3 B,80,Monaco,drugstores,Fashion &amp; Retail
Mikhail Prokhorov,$10.3 B,56,Russia,investments,Finance &amp; Investments
Marcel Herrmann Telles,$10.3 B,72,Brazil,beer,Food &amp; Beverage
Leon Black,$10 B,70,United States,private equity,Finance &amp; Investments
Joe Gebbia,$10 B,40,United States,Airbnb,Technology
David Geffen,$10 B,79,United States,"movies, record labels",Media &amp; Entertainment
Yu Renrong,$10 B,56,China,semiconductors,Manufacturing
